SOURCE,SURVERYPERIOD,DATEFORMATTED,SAMPLE,FAVORABLE,UNFAVORABLE,MARGIN,CANDIDATE,DAYS_TO_GENERAL_ELECTION,ELECTION_YEAR,ELECTION_DATE
ABC/Wash Post,4/18 - 4/22,4/22/2012,1008 A,65,27,38,HRC,1661,2016,11/8/2016
ABC/Wash Post,11/28 - 12/2,12/2/2012,RV,65,31,34,HRC,1437,2016,11/8/2016
ABC/Wash Post,1/16 - 1/20,1/20/2013,RV,65,30,35,HRC,1388,2016,11/8/2016
ABC/Wash Post,6/19 - 6/23,6/23/2013,RV,60,36,24,HRC,1234,2016,11/8/2016
ABC/Wash Post,1/20 - 1/23,1/23/2014,873 RV,56,41,15,HRC,1020,2016,11/8/2016
ABC/Wash Post,3/26 - 3/29,3/29/2015,RV,49,47,2,HRC,590,2016,11/8/2016
ABC/Wash Post,7/8 - 7/12,7/12/2015,1011 A,52,45,7,HRC,485,2016,11/8/2016
ABC/Wash Post,7/8 - 7/12,7/12/2015,1011 A,33,61,-28,TRUMP,485,2016,11/8/2016
ABC/Wash Post,7/8 - 7/12,7/12/2015,1011 A,27,28,-1,BERNIE,485,2016,11/8/2016
ABC/Wash Post,8/26 - 8/30,8/30/2015,1005 A,45,53,-8,HRC,436,2016,11/8/2016
ABC/Wash Post,8/26 - 8/30,8/30/2015,1005 A,37,59,-22,TRUMP,436,2016,11/8/2016
ABC/Wash Post,9/23 - 9/27,9/27/2015,1000 A,35,60,-25,TRUMP,408,2016,11/8/2016
ABC/Wash Post,10/7 - 10/11,10/11/2015,1002 A,47,49,-2,HRC,394,2016,11/8/2016
ABC/Wash Post,10/7 - 10/11,10/11/2015,1002 A,35,35,0,BERNIE,394,2016,11/8/2016
ABC/Wash Post,11/4 - 11/8,11/8/2015,1023 A,46,51,-5,HRC,366,2016,11/8/2016
ABC/Wash Post,11/4 - 11/8,11/8/2015,1023 A,38,59,-21,TRUMP,366,2016,11/8/2016
ABC/Wash Post,11/4 - 11/8,11/8/2015,1023 A,40,38,2,BERNIE,366,2016,11/8/2016
ABC/Wash Post,1/6 - 1/10,1/10/2016,1000 A,48,49,-1,HRC,303,2016,11/8/2016
ABC/Wash Post,1/6 - 1/10,1/10/2016,1000 A,35,62,-27,TRUMP,303,2016,11/8/2016
ABC/Wash Post,1/6 - 1/10,1/10/2016,1000 A,44,40,4,BERNIE,303,2016,11/8/2016
ABC/Wash Post,3/3 - 3/6,3/6/2016,1000 A,46,52,-6,HRC,247,2016,11/8/2016
ABC/Wash Post,3/3 - 3/6,3/6/2016,1000 A,30,67,-37,TRUMP,247,2016,11/8/2016
ABC/Wash Post,4/6 - 4/10,4/10/2016,1010 A,31,67,-36,TRUMP,212,2016,11/8/2016
